internalTaxonId,scientificName,name,language,main
42494009,Leiopython biakensis,Biak White-lipped Python,English,true
42494018,Leiopython fredparkeri,Karimui Basin White-lipped Python,English,true
42494211,Simalia oenpelliensis,Oenpelli Python,English,false
42494211,Simalia oenpelliensis,Nawaran,Australian languages,false
42494211,Simalia oenpelliensis,Oenpelli Rock Python,English,true
42566169,Aetobatus ocellatus,Ocellated Eagle Ray,English,false
42566169,Aetobatus ocellatus,Sharpwing Eagle Ray,English,false
42566169,Aetobatus ocellatus,Spotted Duckbill Ray,English,false
42566169,Aetobatus ocellatus,Hihimanu,Rapanui,false
42566169,Aetobatus ocellatus,Indische adelaarsrog,Dutch; Flemish,false
42566169,Aetobatus ocellatus,Laiguline haugasrai,Estonian,false
42566169,Aetobatus ocellatus,Raie léopard,French,false
42566169,Aetobatus ocellatus,Siba puntíkatá,Czech,false
42566169,Aetobatus ocellatus,斑点鹞鲼,Chinese,false
42566169,Aetobatus ocellatus,斑點鷂鱝,Chinese,false
42566169,Aetobatus ocellatus,睛斑鷂鱝,Chinese,false
42566169,Aetobatus ocellatus,睛斑鹞鲼,Chinese,false
42566169,Aetobatus ocellatus,Spotted Eagle Ray,English,true
59774,Somatochlora borisi,Cordulie de Bulgarie,French,false
59774,Somatochlora borisi,Rhodopen-Smaragdlibelle,German,false
59774,Somatochlora borisi,Bulgarian Emerald,English,true
64409,Mycteroperca fusca,Comb Grouper,English,false
64409,Mycteroperca fusca,Abade,Spanish; Castilian,false
64409,Mycteroperca fusca,Abadejo,Spanish; Castilian,false
64409,Mycteroperca fusca,Abae,Spanish; Castilian,false
64409,Mycteroperca fusca,Gitano,Spanish; Castilian,false
64409,Mycteroperca fusca,Mero Abadejo,Spanish; Castilian,false
64409,Mycteroperca fusca,Merou D'Ile,French,false
64409,Mycteroperca fusca,Sama,Spanish; Castilian,false
64409,Mycteroperca fusca,Island Grouper,English,true
21132344,Pentanemus quinquarius,Royal Threadfin,English,true
18177478,Pseudupeneus prayensis,Rouget,French,false
18177478,Pseudupeneus prayensis,West African Goatfish,English,true
42760305,Rhampholeon viridis,Green Pygmy Chameleon,English,false
42760305,Rhampholeon viridis,Pare Pygmy Chameleon,English,true
42859157,Ansonia thinthinae,Thin Thin’s Stream Toad,English,true
198647,Trachurus trachurus,Common Scad,English,false
198647,Trachurus trachurus,European Horse Mackerel,English,false
198647,Trachurus trachurus,Horse-mackerel,English,false
198647,Trachurus trachurus,Horse Mackerel,English,false
198647,Trachurus trachurus,Pollock,English,false
198647,Trachurus trachurus,Scad,English,false
198647,Trachurus trachurus,Western Horse Mackerel,English,false
198647,Trachurus trachurus,Bizet,French,false
198647,Trachurus trachurus,Cagnassun,French,false
198647,Trachurus trachurus,Chicharro,Spanish; Castilian,false
198647,Trachurus trachurus,Chinchard,French,false
198647,Trachurus trachurus,Chinchard Commun,French,false
198647,Trachurus trachurus,Chinchard D'Europe,French,false
198647,Trachurus trachurus,Chinchard Noir,French,false
198647,Trachurus trachurus,Chincho,Spanish; Castilian,false
198647,Trachurus trachurus,Jurel,Spanish; Castilian,false
198647,Trachurus trachurus,Maquerelle,French,false
198647,Trachurus trachurus,Saurel,French,false
198647,Trachurus trachurus,Severeau,French,false
198647,Trachurus trachurus,Xurelo,Spanish; Castilian,false
198647,Trachurus trachurus,Atlantic Horse Mackerel,English,true
43184845,Acizzia veski,Vesk’s Plant-louse,English,true
20638608,Africariola longicauda,Richtersveld Katydid,English,true
20659675,Arytropteris basalis,Flat-necked Shieldback,English,true
20644147,Brinckiella karooensis,Karoo Winter Katydid,English,true
20644150,Brinckiella mauerbergerorum,Mauerberger's Winter Katydid,English,true
20633594,Conocephalus peringueyi,Peringuey’s Meadow Katydid,English,true
20640823,Paracilacris mordax,Golden Gate Grass False Shieldback,English,true
20642458,Pomatonota dregii,East Coast Katydid,English,true
20659744,Thoracistus viridicrus,Green-kneed Seedpod Shieldback,English,true
43340051,Occidozyga tompotika,Bancet tompotika,Indonesian,true
6494,Dermochelys coriacea,Coffin-back,English,false
6494,Dermochelys coriacea,Leatherback Sea Turtle,English,false
6494,Dermochelys coriacea,Leathery Turtle,English,false
6494,Dermochelys coriacea,Luth,English,false
6494,Dermochelys coriacea,Trunkback Turtle,English,false
6494,Dermochelys coriacea,Trunk Turtle,English,false
6494,Dermochelys coriacea,Baula,Spanish; Castilian,false
6494,Dermochelys coriacea,Canal,Spanish; Castilian,false
6494,Dermochelys coriacea,Cardon,Spanish; Castilian,false
6494,Dermochelys coriacea,Dorso de Cuero,Spanish; Castilian,false
6494,Dermochelys coriacea,Galapagos,Spanish; Castilian,false
6494,Dermochelys coriacea,Lederschildkröte,German,false
6494,Dermochelys coriacea,Siete Lomos,Spanish; Castilian,false
6494,Dermochelys coriacea,Siete Quillas,Spanish; Castilian,false
6494,Dermochelys coriacea,Tartaruga-de-casco-mole,Portuguese,false
6494,Dermochelys coriacea,Tartaruga-de-couro,Portuguese,false
6494,Dermochelys coriacea,Tartaruga-gigante,Portuguese,false
6494,Dermochelys coriacea,Tinglada,Spanish; Castilian,false
6494,Dermochelys coriacea,Tinglar,Spanish; Castilian,false
6494,Dermochelys coriacea,Tora,Spanish; Castilian,false
6494,Dermochelys coriacea,Tortue luth,French,false
6494,Dermochelys coriacea,Tortuga Caná,Spanish; Castilian,false
6494,Dermochelys coriacea,Tortuga Laud,Spanish; Castilian,false
6494,Dermochelys coriacea,سلحفاة المحيط جلدية الظهر,Arabic,false
6494,Dermochelys coriacea,Leatherback,English,true
43672618,Rammeihippus turcicus,Turkish Black Sea Coast Grasshopper,English,true
6909,Dugong dugon,Sea Cow,English,false
6909,Dugong dugon,Babi Laut,Malay,false
6909,Dugong dugon,Baghr al-Bahr,Arabic,false
6909,Dugong dugon,Dugon,Spanish; Castilian,false
