internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
47709810,Anonconotus italoaustriacus,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Anonconotus,italoaustriacus,,,,,"Nadig, 1987",
47709813,Anonconotus ligustinus,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Anonconotus,ligustinus,,,,,"Galvagni, 2002",
47709829,Anonconotus mercantouri,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Anonconotus,mercantouri,,,,,"Galvagni &amp; Fontana, 2003",
16084431,Gomphoceridius brevipennis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Gomphoceridius,brevipennis,,,,,"(Brisout de Barneville, 1858)",
16084614,Omocestus antigai,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Omocestus,antigai,,,,,"(Bolívar, 1897)",
16084572,Omocestus defauti,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Omocestus,defauti,,,,,"Sardet & Braud, 2007",
16084542,Sphingonotus uvarovi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Sphingonotus,uvarovi,,,,,"Chopard, 1923",
16084419,Stenobothrus grammicus,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Stenobothrus,grammicus,,,,,"Cazurro, 1888",
64529098,Amedegnatiana vicheti,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Amedegnatiana,vicheti,,,,,"(Delmas &amp; Rambier, 1950)",
68315858,Ephippiger provincialis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Ephippiger,provincialis,,,,,"Yersin, 1854",
68427620,Metrioptera buyssoni,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Metrioptera,buyssoni,,,,,"(Saulcy, 1887)",
70680908,Carcharhinus tjutjot,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,tjutjot,,,,,"(Bleeker, 1852)","<span><em>Carcharhinus tjutjot </em>is part of the <em>Carcharhinus seali-dussumieri</em> group  that has been revealed to consist of five species:&#160;<em>C. dussumieri</em> and <em>C.  sealei </em>have recently been re-described, <em>C. coatesi</em> and <em>C. tjutjot </em>have been resurrected as  valid species, and a new species, <em>C. humani</em> has been described (White 2012, White  and Weigmann 2014)."
70688138,Dipturus confusus,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Dipturus,confusus,,,,,"Last, 2008",
41875,Hemiscyllium hallstromi,ANIMALIA,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,HEMISCYLLIIDAE,Hemiscyllium,hallstromi,,,,,"Whitley, 1967",
16084395,Chrysochraon beybienkoi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chrysochraon,beybienkoi,,,,,"Galvagni, 1968",
16084624,Dociostaurus minutus,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Dociostaurus,minutus,,,,,"La Greca, 1962",
