internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
191713,Neotoca bilineata,"Skiffia bilineata (Bean, 1887)",Skiffia,bilineata,"(Bean, 1887)",,
191713,Neotoca bilineata,"Goodea bilineata Regan, 1907",Goodea,bilineata,"Regan, 1907",,
191713,Neotoca bilineata,"Characodon bilineatus Bean, 1887",Characodon,bilineatus,"Bean, 1887",,
191714,Skiffia lermae,"Skiffia variegata Meek, 1902",Skiffia,variegata,"Meek, 1902",,
191714,Skiffia lermae,"Goodea lermae Regan, 1907",Goodea,lermae,"Regan, 1907",,
191715,Skiffia multipunctata,"Goodea multipunctata Regan, 1907",Goodea,multipunctata,"Regan, 1907",,
191715,Skiffia multipunctata,"Ollentodon multipunctatus Hubbs & Turner, 1937",Ollentodon,multipunctatus,"Hubbs & Turner, 1937",,
191715,Skiffia multipunctata,"Xenendum multipunctatum Pellegrin, 1901",Xenendum,multipunctatum,"Pellegrin, 1901",,
191717,Xenotoca eiseni,"Characodon  variatus Regan, 1907",Characodon ,variatus,"Regan, 1907",,
191717,Xenotoca eiseni,"Characodon eiseni Rutter, 1896",Characodon,eiseni,"Rutter, 1896",,
191720,Zoogoneticus quitzeoensis,"Platypoecilus quitzeoensis Bean, 1898",Platypoecilus,quitzeoensis,"Bean, 1898",,
191755,Poecilia velifera,"Mollienesia velifera Regan, 1914",Mollienesia,velifera,"Regan, 1914",,
192001,Cryptelytrops honsonensis,"Trimeresurus honsonensis David, Vogel and Dubois, 2011",Trimeresurus,honsonensis,"David, Vogel and Dubois, 2011",,
192040,Elaphe moellendorffi,"Cynophis moellendorffi Boettger, 1886",Cynophis,moellendorffi,"Boettger, 1886",,
192040,Elaphe moellendorffi,"Coluber moellendorffi (Boettger, 1886)",Coluber,moellendorffi,"(Boettger, 1886)",,
192040,Elaphe moellendorffi,"Orthriophis moellendorfi (Boettger, 1886) [orth. error]",Orthriophis,moellendorfi,"(Boettger, 1886) [orth. error]",,
192086,Popeia buniana,"Trimeresurus buniana (Grismer, Grismer & McGuire, 2006)",Trimeresurus,buniana,"(Grismer, Grismer & McGuire, 2006)",,
192100,Gloydius shedaoensis,"Agkistrodon shedaoensis Zhao, 1979",Agkistrodon,shedaoensis,"Zhao, 1979",,
192132,Euprepiophis perlacea,"Elaphe perlacea Stejneger, 1929",Elaphe,perlacea,"Stejneger, 1929",,
192140,Protobothrops mangshanensis,"Zhaoermia mangshanensis (Zhao, 1990)",Zhaoermia,mangshanensis,"(Zhao, 1990)",,
192140,Protobothrops mangshanensis,"Trimeresurus mangshanensis Zhao, 1990",Trimeresurus,mangshanensis,"Zhao, 1990",,
192154,Popeia nebularis,"Trimeresurus nebularis Vogel, David & Pauwels, 2004",Trimeresurus,nebularis,"Vogel, David & Pauwels, 2004",,
192181,Cryptelytrops kanburiensis,"Trimeresurus kanburiensis Smith, 1943",Trimeresurus,kanburiensis,"Smith, 1943",,
192286,Conus lugubris,Conus fuscus Barros e Cunha 1933,Conus,fuscus,Barros e Cunha 1933,,
192403,Conus cuneolus,"Africonus cuneolus Reeve, 1844",Africonus,cuneolus,"Reeve, 1844",,
192497,Conus mercator,"Conus lamarckii Kiener, 1845",Conus,lamarckii,"Kiener, 1845",,
192497,Conus mercator,"Conus orri da Motta, 1982",Conus,orri,"da Motta, 1982",,
192497,Conus mercator,"Conus reticulatus Born, 1778",Conus,reticulatus,"Born, 1778",,
192522,Conus bruguieresi,"Conus  bruguiersi Kiener, 1845",Conus ,bruguiersi,"Kiener, 1845",,
192544,Conus crotchii,"Conus poppei Elsen, 1983",Conus,poppei,"Elsen, 1983",,
192572,Conus fontonae,Afroconus fontonae,Afroconus,fontonae,,,
