,id,title,categories,date,closed,date_closed,geometries
1177,EONET_3228,"East Fork Fire, MONTANA",Wildfires,2017-08-27,True,2017-09-25,"{'type': 'Point', 'coordinates': [-109.62222222222, 48.17]}"
1178,EONET_3246,"Honeymoon Fire, IDAHO",Wildfires,2017-08-27,True,2017-10-17,"{'type': 'Point', 'coordinates': [-115.43388888889, 44.575277777778]}"
1179,EONET_3195,"Wildfire MB-NE311, Manitoba, Canada",Wildfires,2017-08-27,True,2017-10-01,"{'type': 'Point', 'coordinates': [-96.8986, 53.5569]}"
1180,EONET_3200,"Wildfire MB-NE312, Manitoba, Canada",Wildfires,2017-08-27,True,2017-10-03,"{'type': 'Point', 'coordinates': [-94.3756, 56.4681]}"
1181,EONET_3213,"Horse Prairie Fire, OREGON",Wildfires,2017-08-26,True,2017-09-08,"{'type': 'Point', 'coordinates': [-123.60472222222, 42.935277777778]}"
1182,EONET_3185,"Mendenhall Fire, MONTANA",Wildfires,2017-08-26,True,2017-09-03,"{'type': 'Point', 'coordinates': [-110.17722222222, 45.653888888889]}"
1183,EONET_3299,"Wildfire MB-NE308, Manitoba, Canada",Wildfires,2017-08-26,True,2017-09-05,"{'type': 'Point', 'coordinates': [-93.8347, 58.4244]}"
1184,EONET_3258,"Strawberry Fire, MONTANA",Wildfires,2017-08-25,True,2017-10-07,"{'type': 'Point', 'coordinates': [-113.015, 48.089166666667]}"
1185,EONET_3197,"Conrow Fire, MONTANA",Wildfires,2017-08-24,True,2017-09-19,"{'type': 'Point', 'coordinates': [-111.98888888889, 45.933611111111]}"
1186,EONET_3182,"I-5 Fire, California",Wildfires,2017-08-24,True,2017-08-26,"{'type': 'Point', 'coordinates': [-120.05404, 36.05187]}"
1187,EONET_3177,Tropical Storm Pakhar,Severe Storms,2017-08-24,True,2017-09-01,"{'type': 'Point', 'coordinates': [126.1, 15.6]}"
1188,EONET_3179,"Wildfire MB-NE298, Manitoba, Canada",Wildfires,2017-08-24,True,2017-09-20,"{'type': 'Point', 'coordinates': [-94.7758, 55.3317]}"
1189,EONET_3181,"Philpott Road - Hwy 33 Fire, British Columbia, Canada",Wildfires,2017-08-24,True,2017-09-09,"{'type': 'Point', 'coordinates': [-119.195015, 49.8637848]}"
1190,EONET_3207,"Bearskin Fire, IDAHO",Wildfires,2017-08-23,True,2017-10-12,"{'type': 'Point', 'coordinates': [-115.52722222222, 44.388333333333]}"
1191,EONET_3203,"Stag Fire, NEVADA",Wildfires,2017-08-23,True,2017-09-01,"{'type': 'Point', 'coordinates': [-115.505, 41.419722222222]}"
1192,EONET_3174,"Maurer Mountain Fire, MONTANA",Wildfires,2017-08-23,True,2017-08-30,"{'type': 'Point', 'coordinates': [-112.76388888889, 44.964166666667]}"
1193,EONET_3288,"Kouango, Ouaka, Central African Republic Flooding",Floods,2017-08-23,True,2017-09-16,"{'type': 'Point', 'coordinates': [19.97314453125, 4.9924497884904175]}"
1194,EONET_3167,"Wildfire - NW of Centralia, Washington - United States",Wildfires,2017-08-22,True,2017-09-02,"{'type': 'Point', 'coordinates': [-123.01700007, 46.821128321]}"
1195,EONET_3178,"Lyons Fire, NEVADA",Wildfires,2017-08-22,True,2017-08-29,"{'type': 'Point', 'coordinates': [-119.45638888889, 39.105277777778]}"
